date,vader_stopwords,vader_no_stopwords,textblob_stopwords,textblob_no_stopwords,finbert_sentiment_score
2021-02-28 23:59:59,0.1664214501070019,0.1696962494107127,0.1171487704111082,0.0980533872525613,0.7148830546153846
2021-03-31 23:59:59,0.0971735635640456,0.1004483621346871,0.0899285921153769,0.0854352136763786,0.75116971
2021-04-30 23:59:59,0.1527113277974195,0.154763609284789,0.1076474495715916,0.1006703407605845,0.70366947
2021-05-31 23:59:59,0.1371598425133474,0.1408699799076947,0.1091945394623494,0.1003487846823496,0.73159864
2021-06-30 23:59:59,0.1924622694248651,0.1978201298579286,0.1475322470958038,0.1384220275067618,0.6290315125
2021-07-31 23:59:59,0.2525735158751937,0.2561655927020181,0.1629957501429187,0.1508606739638329,0.6478748084210526
2021-08-31 23:59:59,0.2766586646358893,0.2798262829525149,0.1678104694788662,0.158290862237251,0.6551530677777778
2021-09-30 23:59:59,0.2559105189281156,0.2593852530837941,0.1589936688511195,0.151026416407301,0.62089425
2021-10-31 23:59:59,0.27369052865696,0.2732131690723983,0.1585824006743744,0.1479698191371318,0.6654136555555555
2021-11-30 23:59:59,0.2675650765700353,0.2684233768301741,0.1629412994419902,0.1534705166229923,0.657872327
2021-12-31 23:59:59,0.2142436117542963,0.2210090032300247,0.1409588458677204,0.1318588514478691,0.65127207
2022-01-31 23:59:59,0.2135252164875432,0.2277352687064638,0.1538177589934966,0.1437936566669855,0.64157431125
2022-02-28 23:59:59,0.2193554528179453,0.2234646290101673,0.1406954028810916,0.1329910787347725,0.68631004
2022-03-31 23:59:59,0.2402128693995935,0.238112286624079,0.155102970261741,0.14609973270089,0.6898272711764706
2022-04-30 23:59:59,0.2362014843939912,0.2357046928786434,0.1653471002770164,0.1541641218625218,0.6958644114285715
2022-05-31 23:59:59,0.1852357218056761,0.1911016456690266,0.1342774811892049,0.1229245561729338,0.69081703875
2022-06-30 23:59:59,0.1575596984411015,0.1590623941948511,0.1130281157808616,0.1039264612770169,0.706874718
2022-07-31 23:59:59,0.1630136682883945,0.1668032916934213,0.1078816496424565,0.0965419747429455,0.7184117133333333
2022-08-31 23:59:59,0.1552750078445556,0.1535821185415229,0.0970491674939957,0.0863790305042723,0.75235023
2022-09-30 23:59:59,0.1582477620066665,0.1611157924687799,0.0982511136212801,0.0866454326413613,0.764916735
2022-10-31 23:59:59,0.161730091208072,0.1640786814187053,0.106040756746295,0.0928722534298412,0.7440698871428572
2022-11-30 23:59:59,0.1140930161149626,0.1160979341734526,0.0929524709812979,0.0843091637167113,0.698388739090909
2022-12-31 23:59:59,0.1647890892557924,0.1662801923458844,0.1038101370720466,0.097926283182594,0.751952935
2023-01-31 23:59:59,0.1530326499912677,0.1542109178456909,0.0900167878382118,0.0825871584392139,0.7856877975
2023-02-28 23:59:59,0.1465501829393338,0.1482687157152684,0.101345916981445,0.0862339561544001,0.73423125
2023-03-31 23:59:59,0.1384417437021419,0.1408867051850554,0.1007935814151403,0.0843796326164717,0.716513874
